id,name,type,foursquareId,lat,lon
19560063,Garage Billiards,foursquare,40b13b00f964a52084f61ee3,47.61242823398154,-122.3204372967713
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
6552482,Home,home,,47.67645,-122.32305
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
7187779,Forza Coffee Co.,foursquare,4f18b993e4b0a9795c2bd702,47.67877626216485,-122.3267572769863
6552482,Home,home,,47.67645,-122.32305
8291698,School,school,,47.67656,-122.32843
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
8776300,Green Lake Elementary,foursquare,4afb71c2f964a5200e1e22e3,47.67600488191037,-122.3287058982456
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291698,School,school,,47.67656,-122.32843
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
21631794,Fuji Sushi,foursquare,42893400f964a52046231fe3,47.60012623338865,-122.3266535997391
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
22397993,Honey Court Seafood,foursquare,47484fd3f964a5208c4c1fe3,47.59774965854165,-122.3248887062073
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
22540733,Biscuit Bitch,foursquare,4bcaaab5937ca593ce65a892,47.61046687516522,-122.3417544364929
22540735,The Pink Door,foursquare,40b13b00f964a52066f71ee3,47.61030051515755,-122.3424625396728
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
6552482,Home,home,,47.67645,-122.32305
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
23930342,,unknown,,47.62533,-122.3011
6552482,Home,home,,47.67645,-122.32305
23930342,,unknown,,47.62533,-122.3011
6552482,Home,home,,47.67645,-122.32305
24322040,,unknown,,47.6759,-122.30642
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
24653998,,unknown,,47.67987,-122.32605
7187779,Forza Coffee Co.,foursquare,4f18b993e4b0a9795c2bd702,47.67877626216485,-122.3267572769863
6552482,Home,home,,47.67645,-122.32305
24802706,The Home Depot,foursquare,4aa6aedff964a520a44a20e3,47.71404962382897,-122.343385219574
25230592,Jo-Ann Fabric and Craft Stores,foursquare,4baea81ff964a520b8cb3be3,47.74003766057508,-122.343921661377
25230851,Brown Bear Car Wash,foursquare,4b6dfc9cf964a52056a12ce3,47.74626391435043,-122.3449409008026
25230979,Target,foursquare,441512e1f964a520f6301fe3,47.70914068012642,-122.3245453834534
6552482,Home,home,,47.67645,-122.32305
25231146,University Village,foursquare,43768200f964a5204b2a1fe3,47.6625043287841,-122.2989249229431
18505034,Whole Foods Market,foursquare,439ac4b9f964a520d52b1fe3,47.67498907406865,-122.3166382312775
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
25362119,Tat's Delicatessen,foursquare,455c500ef964a5206e3d1fe3,47.60153331738691,-122.332398891449
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
6552482,Home,home,,47.67645,-122.32305
20364064,Green Lake United Methodist Church,foursquare,4c1e5080eac020a15d7c49c2,47.67566265282078,-122.3282539661625
6552482,Home,home,,47.67645,-122.32305
6552482,Home,home,,47.67645,-122.32305
8291698,School,school,,47.67656,-122.32843
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
26690882,,unknown,,47.59853,-122.32632
8291699,A.R.O.,foursquare,4e32f5c3fa76f00388bbbf06,47.59786388589972,-122.3280325497587
6552482,Home,home,,47.67645,-122.32305
