activity,group,duration,distance,steps,calories,record_id,summary_id
running,running,540,1347,1365,82,74,165
walking,walking,3192,3266,4577,165,75,166
transport,transport,3394,18986,,,75,167
walking,walking,3371,4445,5410,222,76,168
transport,transport,4012,25718,,,76,169
walking,walking,1341,1610,2121,80,77,170
walking,walking,3639,3947,5408,197,78,171
transport,transport,7454,79520,,,78,172
walking,walking,1356,863,1331,43,79,173
transport,transport,5008,38655,,,79,174
walking,walking,1477,1144,1878,57,80,175
transport,transport,2121,10630,,,80,176
walking,walking,2673,2893,4255,145,81,177
transport,transport,2565,18409,,,81,178
walking,walking,1438,1547,2150,77,82,179
transport,transport,1273,10092,,,82,180
walking,walking,1581,1618,2314,82,83,181
transport,transport,1721,17689,,,83,182
walking,walking,2877,3453,4599,173,84,183
transport,transport,2833,18566,,,84,184
walking,walking,1775,1806,2734,90,85,185
transport,transport,2314,17807,,,85,186
walking,walking,1797,2015,2355,101,86,187
transport,transport,1125,8633,,,86,188
walking,walking,3699,3860,5261,193,87,189
transport,transport,3682,33740,,,87,190
walking,walking,2452,2439,3436,122,88,191
transport,transport,1298,9679,,,88,192
walking,walking,3324,3452,4648,172,89,193
transport,transport,3943,28252,,,89,194
walking,walking,3510,3623,5009,181,90,195
transport,transport,12986,1727611,,,90,196
walking,walking,1592,1504,2415,75,91,197
transport,transport,14264,1731549,,,91,198
walking,walking,5640,6603,8510,331,92,199
transport,transport,2760,18555,,,92,200
walking,walking,1288,1143,1806,57,93,201
cycling,cycling,4926,21605,,484,93,202
transport,transport,3337,28566,,,93,203
walking,walking,2895,3772,4808,188,94,204
running,running,1140,2970,2965,181,94,205
transport,transport,1923,17584,,,94,206
walking,walking,3887,4778,6595,239,95,207
transport,transport,2563,19367,,,95,208
walking,walking,3128,4244,5246,212,96,209
running,running,1110,2784,2775,170,96,210
transport,transport,1753,6428,,,96,211
walking,walking,2103,3695,3040,185,97,212
transport,transport,2049,10655,,,97,213
cycling,cycling,2173,9976,,222,97,214
walking,walking,1496,1366,1834,68,98,215
cycling,cycling,5568,21660,,490,98,216
walking,walking,2093,2053,2928,103,99,217
transport,transport,2423,21646,,,99,218
walking,walking,4908,5441,7428,272,100,219
transport,transport,1786,12295,,,100,220
walking,walking,2620,2343,3551,117,101,221
transport,transport,8221,68024,,,101,222
walking,walking,3391,3461,5309,173,102,223
transport,transport,1828,19589,,,102,224
walking,walking,2097,2022,3225,101,103,225
cycling,cycling,2428,10482,,235,103,226
transport,transport,1660,9445,,,103,227
walking,walking,3407,3516,5277,176,104,228
transport,transport,4248,27972,,,104,229
walking,walking,2698,2646,3712,132,105,230
transport,transport,1640,16683,,,105,231
walking,walking,4521,4917,6555,247,106,232
transport,transport,1862,18624,,,106,233
walking,walking,3700,4236,5644,212,107,234
running,running,1260,3403,3218,206,107,235
cycling,cycling,1201,5533,,123,107,236
transport,transport,3156,30723,,,107,237
walking,walking,4692,5619,7097,281,108,238
transport,transport,23987,3569418,,,108,239
walking,walking,3109,3694,4551,185,109,240
transport,transport,2290,12530,,,109,241
walking,walking,2413,2414,3389,121,110,242
transport,transport,19546,2592004,,,110,243
walking,walking,2729,3128,4291,156,111,244
cycling,cycling,2220,9706,,217,111,245
transport,transport,2261,15293,,,111,246
walking,walking,976,914,1361,47,112,247
transport,transport,2390,16739,,,112,248
cycling,cycling,1021,4646,,104,112,249
walking,walking,2464,2227,3552,111,113,250
transport,transport,2174,17738,,,113,251
walking,walking,5820,6701,8634,336,114,252
running,running,1170,3076,2946,187,114,253
transport,transport,15155,211565,,,114,254
walking,walking,4489,4377,5932,219,115,255
transport,transport,1275,8505,,,115,256
walking,walking,2806,2831,4053,141,116,257
transport,transport,4362,25389,,,116,258
walking,walking,2376,2579,3579,129,117,259
transport,transport,3075,18140,,,117,260
walking,walking,1186,1350,1985,67,118,261
transport,transport,2450,18420,,,118,262
walking,walking,2424,2930,4324,146,119,263
transport,transport,2690,17603,,,119,264
walking,walking,1765,1778,2717,89,120,265
transport,transport,15452,327252,,,120,266
walking,walking,1500,1284,1737,64,121,267
transport,transport,25793,636921,,,121,268
cycling,cycling,382,4201,,89,121,269
transport,transport,2422,24460,,,122,270
walking,walking,1380,1237,1838,62,122,271
walking,walking,1500,1298,1989,65,123,272
transport,transport,7578,117293,,,123,273
walking,walking,1597,1428,2144,71,124,274
transport,transport,5607,65316,,,124,275
walking,walking,7826,6395,9586,319,125,276
transport,transport,12440,211928,,,125,277
walking,walking,2412,2092,2984,105,126,278
transport,transport,6523,97774,,,126,279
walking,walking,2847,2630,3833,131,127,280
transport,transport,6069,68595,,,127,281
transport,transport,38863,945892,,,128,282
walking,walking,748,551,839,28,128,283
walking,walking,6955,9476,12778,475,129,284
transport,transport,2213,17664,,,129,285
walking,walking,3108,2871,4200,143,130,286
transport,transport,2326,17749,,,130,287
walking,walking,3580,3822,5249,191,131,288
transport,transport,3739,27643,,,131,289
walking,walking,1087,1036,1579,52,132,290
transport,transport,2956,19059,,,132,291
cycling,cycling,4780,20805,,466,132,292
walking,walking,2695,2948,3728,149,133,293
transport,transport,2998,23216,,,133,294
walking,walking,1502,1332,2008,67,134,295
transport,transport,1389,5106,,,134,296
walking,walking,842,887,1149,44,135,297
walking,walking,150,65,132,3,136,298
walking,walking,3744,3866,5032,193,137,299
walking,walking,1183,1134,1618,58,138,300
transport,transport,3469,26981,,,138,301
walking,walking,3100,3346,4707,167,139,302
transport,transport,3078,25886,,,139,303
walking,walking,1007,1014,1304,51,140,304
transport,transport,2949,23868,,,140,305
walking,walking,3783,4941,6286,247,141,306
running,running,930,2465,2396,150,141,307
transport,transport,2875,30957,,,141,308
walking,walking,2980,2955,3913,148,142,309
transport,transport,1117,8244,,,142,310
walking,walking,830,675,1251,34,143,311
transport,transport,570,5879,,,143,312
walking,walking,4351,4590,6456,229,144,313
transport,transport,2087,17688,,,144,314
walking,walking,3171,2994,4453,150,145,315
transport,transport,2611,19411,,,145,316
walking,walking,1398,1505,2177,75,146,317
transport,transport,3018,18548,,,146,318
cycling,cycling,4115,17705,,397,146,319
walking,walking,3004,3246,4851,162,147,320
transport,transport,4459,23592,,,147,321
walking,walking,1202,1255,1732,64,148,322
transport,transport,3540,28815,,,148,323
walking,walking,5421,5582,7807,279,149,324
transport,transport,4942,30753,,,149,325
cycling,cycling,5630,29656,,654,149,326
walking,walking,2294,3384,4327,169,150,327
running,running,1201,3077,3139,187,150,328
transport,transport,1449,11141,,,150,329
cycling,cycling,405,1227,,29,150,330
walking,walking,1262,1357,1903,68,151,331
transport,transport,2247,18002,,,151,332
walking,walking,2002,2183,3224,109,152,333
transport,transport,3744,18911,,,152,334
walking,walking,2017,2211,3058,110,153,335
transport,transport,2370,17691,,,153,336
walking,walking,3818,3673,5147,183,154,337
transport,transport,9823,168881,,,154,338
walking,walking,510,346,695,17,155,339
transport,transport,258,930,,,155,340
walking,walking,3889,3657,4832,183,156,341
cycling,cycling,2125,13047,,285,156,342
transport,transport,5998,90303,,,156,343
walking,walking,2652,2680,3590,134,157,344
transport,transport,5785,144707,,,157,345
walking,walking,3655,3799,5590,190,158,346
transport,transport,2523,17612,,,158,347
walking,walking,2513,2556,3639,128,159,348
transport,transport,2989,17647,,,159,349
walking,walking,3283,3214,4612,161,160,350
transport,transport,6260,32365,,,160,351
cycling,cycling,2956,17337,,380,160,352
walking,walking,1909,1963,2884,98,161,353
transport,transport,2775,17716,,,161,354
