activity,group,duration,distance,steps,calories,record_id,summary_id
walking,walking,5121,7684,9358,383,311,712
transport,transport,1583,21234,,,311,713
walking,walking,471,292,529,15,312,714
cycling,cycling,2663,11372,,254,312,715
transport,transport,2783,11467,,,312,716
walking,walking,2501,2837,3407,141,313,717
cycling,cycling,3524,14755,,330,313,718
transport,transport,1816,10513,,,313,719
walking,walking,1717,1952,2874,97,314,720
transport,transport,2019,19492,,,314,721
walking,walking,1692,1759,2416,88,315,722
transport,transport,3141,23143,,,315,723
walking,walking,1652,1810,2582,90,316,724
transport,transport,2817,20913,,,316,725
walking,walking,2457,3055,3786,152,317,726
transport,transport,5335,32462,,,317,727
walking,walking,1721,1533,2371,76,318,728
transport,transport,1942,19515,,,318,729
walking,walking,1820,2226,3121,111,319,730
transport,transport,2739,19932,,,319,731
walking,walking,894,892,1371,44,320,732
cycling,cycling,2969,12804,,286,320,733
transport,transport,2919,10384,,,320,734
walking,walking,2329,2721,3679,136,321,735
cycling,cycling,2461,12164,,269,321,736
transport,transport,4975,29484,,,321,737
walking,walking,3125,3536,4688,176,322,738
transport,transport,2528,21441,,,322,739
walking,walking,4455,5813,7180,289,323,740
transport,transport,3490,21101,,,323,741
transport,transport,6758,72917,,,324,742
walking,walking,2042,2089,3171,104,324,743
walking,walking,1001,787,1427,39,325,744
transport,transport,2864,22640,,,325,745
walking,walking,720,607,1055,30,326,746
transport,transport,1284,10128,,,326,747
walking,walking,1625,1490,2187,74,327,748
cycling,cycling,2290,11623,,256,327,749
transport,transport,1866,17132,,,327,750
walking,walking,742,591,911,29,328,751
cycling,cycling,2377,12108,,267,328,752
transport,transport,1907,10127,,,328,753
walking,walking,1636,1789,2594,89,329,754
transport,transport,3550,22777,,,329,755
transport,transport,1646,11064,,,330,756
cycling,cycling,2434,12016,,265,330,757
walking,walking,720,686,1016,34,330,758
walking,walking,3982,4546,6027,226,331,759
running,running,330,945,866,57,331,760
transport,transport,4088,29641,,,331,761
walking,walking,4609,6526,7851,325,332,762
running,running,930,2698,2387,162,332,763
transport,transport,3066,22507,,,332,764
transport,transport,2819,16463,,,333,765
walking,walking,2058,1939,2720,97,333,766
cycling,cycling,2192,11389,,251,333,767
walking,walking,2206,2883,3583,144,334,768
transport,transport,2437,19609,,,334,769
walking,walking,571,496,800,25,335,770
cycling,cycling,720,3442,,76,335,771
transport,transport,226,1116,,,335,772
walking,walking,1858,2104,2993,105,336,773
transport,transport,2150,14558,,,336,774
walking,walking,1418,1658,2031,83,337,775
cycling,cycling,2072,11420,,250,337,776
transport,transport,1875,10991,,,337,777
walking,walking,2183,1813,2978,90,338,778
transport,transport,3434,16799,,,338,779
walking,walking,1743,1617,2262,81,339,780
transport,transport,1231,12086,,,339,781
walking,walking,3772,4984,6168,248,340,782
running,running,121,447,298,27,340,783
walking,walking,1590,1630,2310,81,341,784
cycling,cycling,2409,12063,,266,341,785
transport,transport,1811,12077,,,341,786
walking,walking,2082,2530,2967,126,342,787
cycling,cycling,2734,12211,,272,342,788
transport,transport,1928,10235,,,342,789
walking,walking,1522,1552,2461,77,343,790
transport,transport,2596,22352,,,343,791
walking,walking,1609,1850,2491,92,344,792
transport,transport,2673,19472,,,344,793
walking,walking,1997,3427,3977,171,345,794
running,running,1080,2811,2733,170,345,795
transport,transport,743,5781,,,345,796
walking,walking,2256,2010,2920,100,346,797
transport,transport,1926,14204,,,346,798
walking,walking,1642,2000,2511,100,347,799
transport,transport,1995,19958,,,347,800
walking,walking,1969,2304,2975,115,348,801
cycling,cycling,2193,10497,,232,348,802
transport,transport,1346,10273,,,348,803
walking,walking,806,573,875,29,349,804
cycling,cycling,2706,11298,,253,349,805
transport,transport,2561,10394,,,349,806
transport,transport,3497,18128,,,350,807
walking,walking,3410,3818,5194,190,350,808
walking,walking,1259,1313,1960,65,351,809
transport,transport,2835,20900,,,351,810
cycling,cycling,5838,32903,,720,352,811
walking,walking,1593,1853,2553,92,352,812
transport,transport,693,4195,,,352,813
walking,walking,4276,5743,7076,286,353,814
running,running,600,1543,1427,94,353,815
transport,transport,4949,38253,,,353,816
walking,walking,360,255,501,13,354,817
transport,transport,999,8694,,,354,818
walking,walking,4805,6255,7796,311,355,819
transport,transport,2059,13835,,,355,820
walking,walking,775,654,1153,33,356,821
cycling,cycling,3520,16227,,360,356,822
transport,transport,2283,11026,,,356,823
walking,walking,1798,2074,2911,103,357,824
transport,transport,2244,19994,,,357,825
walking,walking,924,860,1315,43,358,826
cycling,cycling,2276,11271,,249,358,827
transport,transport,1137,10149,,,358,828
walking,walking,1842,2583,3167,129,359,829
running,running,871,2230,2183,135,359,830
transport,transport,6901,70732,,,359,831
walking,walking,2497,2414,3475,120,360,832
transport,transport,4411,32597,,,360,833
cycling,cycling,2074,10580,,233,361,834
walking,walking,1947,1912,2605,95,361,835
transport,transport,1747,11147,,,361,836
walking,walking,1791,1858,2355,93,362,837
cycling,cycling,2410,11669,,258,362,838
transport,transport,3123,23156,,,362,839
cycling,cycling,2017,10653,,234,363,840
walking,walking,664,750,1000,37,363,841
transport,transport,1741,10200,,,363,842
walking,walking,2686,2957,3926,147,364,843
transport,transport,2719,20343,,,364,844
running,running,578,1312,1445,80,364,845
walking,walking,940,882,1292,44,365,846
cycling,cycling,2341,11763,,260,365,847
transport,transport,1621,11224,,,365,848
walking,walking,3080,2842,4181,141,366,849
transport,transport,6174,33936,,,366,850
walking,walking,2742,2375,3958,118,367,851
transport,transport,2448,11969,,,367,852
walking,walking,2828,3147,4292,157,368,853
transport,transport,3854,26818,,,368,854
walking,walking,3342,3670,4567,183,369,855
transport,transport,29006,4584396,,,369,856
walking,walking,1705,1728,2285,86,370,857
walking,walking,5618,5831,7909,290,371,858
transport,transport,1065,6808,,,371,859
walking,walking,11698,14746,18586,734,372,860
transport,transport,31616,4574671,,,372,861
walking,walking,4582,5140,7022,256,373,862
running,running,902,2360,2266,143,373,863
transport,transport,4167,32352,,,373,864
walking,walking,3232,4622,5798,230,374,865
running,running,1020,2638,2458,160,374,866
transport,transport,2129,18366,,,374,867
walking,walking,2383,2586,3511,129,375,868
transport,transport,3140,20894,,,375,869
walking,walking,2039,1808,2695,90,376,870
cycling,cycling,2289,11654,,257,376,871
transport,transport,1513,11141,,,376,872
walking,walking,663,698,1025,35,377,873
cycling,cycling,2434,11824,,262,377,874
transport,transport,1440,10101,,,377,875
walking,walking,2777,3437,4468,171,378,876
transport,transport,3673,23336,,,378,877
running,running,781,1924,1845,117,378,878
walking,walking,964,936,1384,47,379,879
cycling,cycling,5425,23373,,522,379,880
walking,walking,1781,1569,2210,78,380,881
transport,transport,2748,15457,,,380,882
running,running,120,210,234,13,380,883
walking,walking,1832,1695,2820,84,381,884
transport,transport,2284,18643,,,381,885
walking,walking,2503,2563,3638,128,382,886
cycling,cycling,2511,12077,,267,382,887
transport,transport,1582,11283,,,382,888
walking,walking,1938,1965,2686,98,383,889
cycling,cycling,2199,10643,,235,383,890
transport,transport,1534,10529,,,383,891
walking,walking,1689,1749,2781,87,384,892
transport,transport,3151,22290,,,384,893
walking,walking,2602,2955,3877,147,385,894
transport,transport,2654,22056,,,385,895
walking,walking,1736,2159,2710,107,386,896
cycling,cycling,2058,10568,,233,386,897
transport,transport,1681,10437,,,386,898
walking,walking,5063,6937,8282,345,387,899
running,running,841,2221,2102,134,387,900
transport,transport,2093,15029,,,387,901
walking,walking,843,672,982,33,388,902
transport,transport,736,4401,,,388,903
walking,walking,2859,4480,5264,223,389,904
running,running,360,963,928,58,389,905
transport,transport,2253,21253,,,389,906
walking,walking,1405,1502,1923,75,390,907
cycling,cycling,2145,10547,,233,390,908
transport,transport,1669,10505,,,390,909
walking,walking,1699,1841,2508,92,391,910
cycling,cycling,2098,10549,,233,391,911
transport,transport,3310,27945,,,391,912
walking,walking,2567,3727,4724,186,392,913
transport,transport,2622,22122,,,392,914
running,running,360,986,883,60,392,915
walking,walking,2252,2565,3570,128,393,916
transport,transport,550,3595,,,393,917
walking,walking,1445,1537,2210,77,394,918
transport,transport,3831,25884,,,394,919
walking,walking,1290,1105,1827,55,395,920
transport,transport,3320,17295,,,395,921
cycling,cycling,955,1658,,42,395,922
walking,walking,1110,1118,1642,56,396,923
cycling,cycling,2286,11132,,246,396,924
transport,transport,2323,17384,,,396,925
walking,walking,1095,1041,1396,52,397,926
cycling,cycling,2132,10761,,237,397,927
transport,transport,3751,17502,,,397,928
walking,walking,2241,2224,3075,111,398,929
transport,transport,2942,22695,,,398,930
walking,walking,2981,2960,4266,147,399,931
transport,transport,6027,35269,,,399,932
walking,walking,3420,3684,5002,183,400,933
transport,transport,4732,24604,,,400,934
walking,walking,4418,4431,6335,221,401,935
transport,transport,2139,10278,,,401,936
walking,walking,1733,1619,2277,81,402,937
transport,transport,3018,23770,,,402,938
walking,walking,2011,2061,2939,103,403,939
transport,transport,3041,24120,,,403,940
walking,walking,886,839,1145,42,404,941
cycling,cycling,2514,11471,,255,404,942
transport,transport,1786,10640,,,404,943
walking,walking,754,914,1175,46,405,944
cycling,cycling,1905,10459,,229,405,945
transport,transport,1499,10572,,,405,946
walking,walking,2605,3858,4688,192,406,947
transport,transport,2882,22980,,,406,948
running,running,540,1435,1350,87,406,949
walking,walking,2974,2823,4547,141,407,950
transport,transport,2413,23099,,,407,951
walking,walking,2526,2160,3045,108,408,952
transport,transport,4016,34445,,,408,953
walking,walking,919,1124,1491,56,409,954
transport,transport,3815,13961,,,409,955
kayaking,,2658,3126,,176,409,956
walking,walking,270,282,435,14,410,957
transport,transport,1825,10308,,,410,958
walking,walking,1393,1343,2042,67,411,959
transport,transport,3499,33926,,,411,960
walking,walking,3828,5507,6967,274,412,961
transport,transport,2161,12121,,,412,962
running,running,1022,2833,2653,171,412,963
walking,walking,2117,2324,3173,116,413,964
transport,transport,3189,20226,,,413,965
cycling,cycling,2478,11417,,254,414,966
walking,walking,1327,1179,1652,59,414,967
transport,transport,1124,10140,,,414,968
walking,walking,808,563,1102,28,415,969
cycling,cycling,8052,35195,,785,415,970
transport,transport,7298,90597,,,415,971
walking,walking,1696,1537,2273,77,416,972
transport,transport,1434,12287,,,416,973
walking,walking,3107,2996,4376,149,417,974
cycling,cycling,1921,10619,,233,417,975
transport,transport,2542,17178,,,417,976
walking,walking,2175,2370,3682,118,418,977
transport,transport,2756,20377,,,418,978
walking,walking,2873,3299,4567,164,419,979
transport,transport,4759,33628,,,419,980
walking,walking,2313,2216,3226,110,420,981
transport,transport,3519,25483,,,420,982
walking,walking,3787,4143,5495,206,421,983
cycling,cycling,2505,11907,,264,421,984
transport,transport,2392,10649,,,421,985
walking,walking,2733,2776,4081,138,422,986
transport,transport,8554,51334,,,422,987
walking,walking,2190,2807,3359,140,423,988
transport,transport,27916,6684262,,,423,989
transport,transport,15213,3528501,,,424,990
walking,walking,13677,13771,18284,686,424,991
walking,walking,2199,1938,2923,96,425,992
cycling,cycling,2231,5584,,132,425,993
walking,walking,7091,8391,11097,418,426,994
transport,transport,44639,11288839,,,426,995
airplane,transport,8986,1247960,,,426,996
walking,walking,2430,3162,2993,157,427,997
running,running,1708,4664,4272,282,427,998
transport,transport,1969,12767,,,427,999
walking,walking,1462,1577,2127,79,428,1000
transport,transport,262,1187,,,428,1001
transport,transport,2521,24954,,,429,1002
walking,walking,3034,3055,4289,152,429,1003
walking,walking,1661,1792,2553,89,430,1004
transport,transport,2527,25045,,,430,1005
walking,walking,1568,1675,2334,83,431,1006
cycling,cycling,2610,13121,,289,431,1007
transport,transport,1496,9405,,,431,1008
walking,walking,2971,2523,3638,126,432,1009
cycling,cycling,2485,11749,,260,432,1010
transport,transport,1536,11279,,,432,1011
walking,walking,1429,1320,2029,66,433,1012
cycling,cycling,2071,11027,,242,433,1013
transport,transport,3027,18308,,,433,1014
walking,walking,2167,1818,2987,91,434,1015
transport,transport,4439,47599,,,434,1016
airplane,transport,36982,9969676,,,434,1017
transport,transport,3066,30575,,,435,1018
walking,walking,12110,12800,17951,637,435,1019
walking,walking,1191,1028,1482,51,436,1020
walking,walking,2761,2761,4059,137,437,1021
transport,transport,2075,30321,,,437,1022
transport,transport,44920,10517933,,,438,1023
walking,walking,2754,3827,3399,191,438,1024
running,running,1434,3450,3451,210,438,1025
walking,walking,2809,2921,4228,145,439,1026
cycling,cycling,2170,11707,,257,439,1027
transport,transport,1570,10352,,,439,1028
walking,walking,843,689,969,34,440,1029
cycling,cycling,2306,11098,,246,440,1030
transport,transport,1618,10784,,,440,1031
walking,walking,2806,3540,4106,176,441,1032
transport,transport,3420,22784,,,441,1033
walking,walking,5136,5816,8538,290,442,1034
walking,walking,2085,3185,3512,159,443,1035
running,running,1470,4004,3674,242,443,1036
transport,transport,1623,12357,,,443,1037
walking,walking,1690,1612,2280,80,444,1038
transport,transport,3284,39453,,,444,1039
walking,walking,1100,1039,1623,52,445,1040
cycling,cycling,4643,21857,,485,445,1041
walking,walking,3692,3524,5180,175,446,1042
cycling,cycling,4475,21297,,472,446,1043
walking,walking,6686,8034,11173,400,447,1044
transport,transport,3462,24213,,,447,1045
walking,walking,1932,1785,2581,89,448,1046
transport,transport,3985,24852,,,448,1047
walking,walking,2042,2164,2990,108,449,1048
cycling,cycling,2621,11353,,253,449,1049
transport,transport,1458,10187,,,449,1050
walking,walking,2971,3299,4786,164,450,1051
transport,transport,1878,22516,,,450,1052
walking,walking,2425,2471,3261,123,451,1053
transport,transport,1180,11949,,,451,1054
cycling,cycling,468,1206,,29,451,1055
walking,walking,900,835,1279,42,452,1056
transport,transport,871,6670,,,452,1057
cycling,cycling,654,2187,,50,452,1058
walking,walking,1482,1254,1859,62,453,1059
cycling,cycling,4267,21933,,483,453,1060
transport,transport,1086,2297,,,453,1061
walking,walking,3640,3928,5010,196,454,1062
transport,transport,7778,58080,,,454,1063
walking,walking,2677,2880,3810,143,455,1064
transport,transport,3869,23025,,,455,1065
walking,walking,2701,2624,3984,131,456,1066
transport,transport,7055,58978,,,456,1067
walking,walking,2217,2156,3270,107,457,1068
cycling,cycling,6338,35891,,785,457,1069
transport,transport,4055,27048,,,457,1070
walking,walking,3477,4777,5792,238,458,1071
running,running,1112,3005,2597,182,458,1072
transport,transport,2675,27234,,,458,1073
walking,walking,1143,979,1382,49,459,1074
cycling,cycling,2404,12622,,278,459,1075
transport,transport,3008,17109,,,459,1076
walking,walking,2244,2280,3143,114,460,1077
cycling,cycling,2523,12661,,279,460,1078
transport,transport,1395,8655,,,460,1079
walking,walking,1304,1299,1855,65,461,1080
cycling,cycling,4391,21958,,485,461,1081
walking,walking,4410,5237,6854,261,462,1082
transport,transport,4090,28175,,,462,1083
running,running,644,1209,1236,75,462,1084
walking,walking,1895,2262,2958,113,463,1085
cycling,cycling,4411,21979,,485,463,1086
walking,walking,1593,1243,1918,62,464,1087
transport,transport,2502,16299,,,464,1088
walking,walking,3231,3432,5159,171,465,1089
transport,transport,3742,19908,,,465,1090
walking,walking,1454,1532,2007,76,466,1091
transport,transport,2046,11511,,,466,1092
cycling,cycling,2017,11930,,260,466,1093
walking,walking,3151,3413,4745,170,467,1094
cycling,cycling,2216,11027,,243,467,1095
transport,transport,5880,36115,,,467,1096
walking,walking,1985,1953,2828,97,468,1097
cycling,cycling,4379,21819,,482,468,1098
walking,walking,3011,3473,4696,173,469,1099
transport,transport,4358,30998,,,469,1100
walking,walking,1975,2036,2862,101,470,1101
transport,transport,6625,49626,,,470,1102
walking,walking,4254,5904,6833,294,471,1103
running,running,752,2154,1879,130,471,1104
transport,transport,2898,17875,,,471,1105
walking,walking,1455,1358,2215,68,472,1106
transport,transport,2694,20304,,,472,1107
cycling,cycling,751,4938,,107,472,1108
walking,walking,2372,2545,3990,127,473,1109
transport,transport,2495,20711,,,473,1110
walking,walking,2519,2666,4117,133,474,1111
transport,transport,5337,36641,,,474,1112
cycling,cycling,1697,9068,,199,475,1113
walking,walking,2358,2168,3268,108,475,1114
transport,transport,1447,7179,,,475,1115
walking,walking,2663,3325,4411,166,476,1116
transport,transport,5409,34002,,,476,1117
cycling,cycling,4610,23424,,516,476,1118
walking,walking,2749,2551,3590,127,477,1119
transport,transport,3187,17739,,,477,1120
walking,walking,1962,1891,2962,94,478,1121
transport,transport,1860,12282,,,478,1122
walking,walking,2878,2936,3907,146,479,1123
transport,transport,23543,561622,,,479,1124
walking,walking,2367,2821,3809,140,482,1125
transport,transport,1376,10111,,,482,1126
transport,transport,2087,10059,,,483,1127
walking,walking,848,710,1180,35,483,1128
walking,walking,889,677,1007,34,484,1129
transport,transport,2256,17886,,,484,1130
cycling,cycling,3771,19624,,432,484,1131
walking,walking,1869,2338,3026,116,485,1132
transport,transport,3970,73973,,,485,1133
walking,walking,3273,3475,4991,173,486,1134
transport,transport,6129,72329,,,486,1135
walking,walking,1986,2332,2985,116,487,1136
transport,transport,3928,23863,,,487,1137
walking,walking,1117,1156,1804,58,488,1138
transport,transport,5950,51478,,,488,1139
walking,walking,2359,2321,3423,116,489,1140
transport,transport,2700,17624,,,489,1141
cycling,cycling,2711,12683,,281,489,1142
walking,walking,1688,1438,2155,72,490,1143
transport,transport,3745,14718,,,490,1144
walking,walking,720,549,942,27,491,1145
walking,walking,2076,1552,2439,77,492,1146
transport,transport,4034,27840,,,492,1147
walking,walking,2665,3130,4002,156,493,1148
transport,transport,4890,26433,,,493,1149
walking,walking,3769,4693,5508,234,494,1150
transport,transport,3430,31988,,,494,1151
walking,walking,3775,4712,5520,235,495,1152
transport,transport,5105,44220,,,495,1153
walking,walking,2993,3742,5029,186,496,1154
transport,transport,2454,11365,,,496,1155
walking,walking,3934,4908,5410,244,497,1156
transport,transport,1203,6471,,,497,1157
walking,walking,729,785,1094,39,498,1158
transport,transport,879,5277,,,498,1159
walking,walking,2461,3093,3594,154,499,1160
transport,transport,1197,6931,,,499,1161
walking,walking,6241,8073,10135,402,500,1162
walking,walking,3982,5021,6334,250,501,1163
transport,transport,3410,26575,,,501,1164
cycling,cycling,1838,8625,,191,502,1165
walking,walking,1418,1215,2036,60,502,1166
transport,transport,735,2280,,,502,1167
walking,walking,6435,9709,11766,483,503,1168
running,running,120,248,255,15,503,1169
walking,walking,3435,3672,6474,183,504,1170
transport,transport,10878,189907,,,504,1171
walking,walking,2124,1915,2797,95,505,1172
transport,transport,3545,25463,,,505,1173
walking,walking,330,240,376,12,506,1174
cycling,cycling,501,1863,,42,506,1175
walking,walking,1722,1779,2668,89,507,1176
transport,transport,4148,25892,,,507,1177
walking,walking,2454,2330,3593,116,508,1178
cycling,cycling,2425,10885,,242,508,1179
transport,transport,935,4542,,,508,1180
walking,walking,4893,4875,7635,243,509,1181
transport,transport,464,2760,,,509,1182
walking,walking,2872,3035,4359,151,510,1183
cycling,cycling,1927,10148,,223,510,1184
transport,transport,2546,11388,,,510,1185
walking,walking,4480,5090,6496,253,511,1186
walking,walking,1140,1221,1684,61,512,1187
transport,transport,3228,23363,,,512,1188
walking,walking,2709,2349,3183,117,513,1189
transport,transport,4451,59522,,,513,1190
walking,walking,1882,1747,2524,87,514,1191
transport,transport,4165,23819,,,514,1192
walking,walking,4682,4691,7040,234,515,1193
walking,walking,3529,3653,5240,182,516,1194
transport,transport,5606,37000,,,516,1195
walking,walking,2069,2369,3528,118,517,1196
transport,transport,4311,22693,,,517,1197
walking,walking,2682,4829,5016,240,518,1198
transport,transport,3444,21725,,,518,1199
walking,walking,4330,5622,7552,280,519,1200
transport,transport,1114,9009,,,519,1201
walking,walking,3505,5412,6044,269,520,1202
cycling,cycling,253,731,,17,520,1203
transport,transport,456,1047,,,520,1204
walking,walking,3495,4678,5551,233,521,1205
transport,transport,4471,27185,,,521,1206
walking,walking,1500,1382,1962,69,522,1207
transport,transport,2984,21121,,,522,1208
walking,walking,4453,4442,6624,221,523,1209
transport,transport,3801,24049,,,523,1210
walking,walking,3297,3508,5210,175,524,1211
transport,transport,3072,25220,,,524,1212
cycling,cycling,2574,11899,,264,524,1213
walking,walking,601,471,670,23,525,1214
transport,transport,2143,37524,,,525,1215
walking,walking,1162,831,1339,41,527,1216
transport,transport,2473,18756,,,527,1217
walking,walking,5256,5255,7484,262,528,1218
transport,transport,4467,27440,,,528,1219
walking,walking,4311,4298,6307,214,529,1220
cycling,cycling,1798,8107,,180,529,1221
transport,transport,3373,21248,,,529,1222
walking,walking,3930,3900,5254,194,530,1223
transport,transport,2653,13066,,,530,1224
cycling,cycling,1932,10147,,223,530,1225
walking,walking,1753,1561,2448,78,531,1226
transport,transport,3368,29394,,,531,1227
walking,walking,214,152,305,8,532,1228
transport,transport,3197,27234,,,532,1229
cycling,cycling,2062,10121,,224,532,1230
walking,walking,953,787,1238,39,533,1231
transport,transport,3939,24780,,,533,1232
walking,walking,2622,2624,4119,131,534,1233
transport,transport,1773,10365,,,534,1234
walking,walking,2411,2370,3540,118,535,1235
transport,transport,3262,22886,,,535,1236
walking,walking,1972,2127,3252,106,536,1237
cycling,cycling,3090,16664,,366,536,1238
transport,transport,735,1860,,,536,1239
walking,walking,4281,4434,6234,221,537,1240
transport,transport,3934,24220,,,537,1241
walking,walking,1838,1717,2480,85,538,1242
transport,transport,2065,14696,,,538,1243
cycling,cycling,1574,7029,,157,538,1244
walking,walking,2948,3227,4345,161,539,1245
transport,transport,5642,55939,,,539,1246
walking,walking,9271,8041,11214,400,540,1247
transport,transport,10841,161588,,,540,1248
walking,walking,3948,4008,5545,200,541,1249
transport,transport,6001,40984,,,541,1250
walking,walking,4060,4029,5713,201,542,1251
cycling,cycling,528,2674,,59,542,1252
walking,walking,2211,2318,3563,115,543,1253
transport,transport,6280,33396,,,543,1254
running,running,991,2260,2331,138,543,1255
walking,walking,3251,3188,4384,159,544,1256
cycling,cycling,1953,10255,,226,544,1257
walking,walking,4957,4980,7460,248,545,1258
transport,transport,5632,34387,,,545,1259
walking,walking,10572,12389,15657,617,546,1260
transport,transport,8419,197652,,,546,1261
walking,walking,5021,5024,7818,250,547,1262
transport,transport,4284,33859,,,547,1263
walking,walking,1344,1140,1625,57,548,1264
cycling,cycling,3661,20392,,447,548,1265
transport,transport,797,2537,,,548,1266
walking,walking,3510,3751,4786,187,549,1267
transport,transport,3725,32161,,,549,1268
walking,walking,4279,5955,7242,296,550,1269
running,running,720,2000,1800,121,550,1270
transport,transport,2243,16755,,,550,1271
walking,walking,3319,3798,5207,189,551,1272
transport,transport,3915,58984,,,551,1273
walking,walking,3265,3284,4757,163,552,1274
cycling,cycling,1697,8213,,182,552,1275
transport,transport,601,2432,,,552,1276
walking,walking,3353,3109,4719,155,553,1277
transport,transport,3219,22397,,,553,1278
walking,walking,2452,1937,2916,96,554,1279
transport,transport,1330,7389,,,554,1280
walking,walking,2425,2900,3750,144,555,1281
transport,transport,3881,26699,,,555,1282
walking,walking,3297,3688,5016,184,556,1283
transport,transport,2511,37827,,,556,1284
walking,walking,2487,2523,3462,126,557,1285
transport,transport,2044,19357,,,557,1286
walking,walking,3710,3584,4800,178,558,1287
transport,transport,4232,28735,,,558,1288
walking,walking,3499,3481,5095,173,559,1289
transport,transport,7914,73152,,,559,1290
walking,walking,5254,5455,7828,272,560,1291
transport,transport,7297,65013,,,560,1292
walking,walking,2238,1805,2413,90,561,1293
transport,transport,8298,189269,,,561,1294
walking,walking,1624,1874,2470,93,562,1295
transport,transport,3094,20904,,,562,1296
walking,walking,1252,930,1522,46,563,1297
transport,transport,3482,22012,,,563,1298
walking,walking,1825,1712,2688,85,564,1299
transport,transport,2391,16244,,,564,1300
walking,walking,3092,3069,4376,153,565,1301
cycling,cycling,3524,19949,,436,565,1302
walking,walking,3031,2793,4350,139,566,1303
transport,transport,6457,43033,,,566,1304
walking,walking,1805,1666,2263,83,567,1305
transport,transport,1170,6839,,,567,1306
walking,walking,1050,923,1473,46,568,1307
transport,transport,575,2543,,,568,1308
transport,transport,6914,71183,,,569,1309
walking,walking,4367,5409,7271,269,569,1310
running,running,630,1817,1551,109,569,1311
walking,walking,3132,3096,4489,154,570,1312
transport,transport,1438,7579,,,570,1313
walking,walking,2574,2773,3896,138,571,1314
transport,transport,8735,82605,,,571,1315
walking,walking,4375,4614,6330,230,572,1316
transport,transport,1868,16374,,,572,1317
running,running,1021,2712,2507,164,572,1318
walking,walking,2561,2453,4135,122,573,1319
transport,transport,5988,86804,,,573,1320
walking,walking,2822,2877,4136,143,574,1321
cycling,cycling,3930,20503,,451,574,1322
transport,transport,8307,98897,,,574,1323
walking,walking,8267,8790,13350,438,575,1324
transport,transport,4537,83223,,,575,1325
walking,walking,3343,3263,4737,162,576,1326
transport,transport,5283,64362,,,576,1327
walking,walking,3154,2782,4173,139,577,1328
transport,transport,1828,14301,,,577,1329
walking,walking,2071,2111,3424,105,578,1330
transport,transport,11247,81325,,,578,1331
walking,walking,4287,5354,7078,267,579,1332
transport,transport,3807,22338,,,579,1333
running,running,1249,3314,2902,200,579,1334
walking,walking,4712,5131,7132,255,580,1335
transport,transport,3914,25938,,,580,1336
walking,walking,3923,4585,6187,228,581,1337
transport,transport,4834,44148,,,581,1338
walking,walking,420,278,549,14,582,1339
walking,walking,4667,4597,6952,229,583,1340
transport,transport,9688,85256,,,583,1341
walking,walking,3832,4404,6001,219,584,1342
running,running,1448,3633,3577,221,584,1343
transport,transport,5938,64755,,,584,1344
walking,walking,2116,2093,2963,104,585,1345
transport,transport,7010,68598,,,585,1346
walking,walking,1508,1289,2110,64,586,1347
transport,transport,6702,59309,,,586,1348
walking,walking,2378,2333,3627,116,587,1349
transport,transport,6745,65911,,,587,1350
walking,walking,6567,8504,10912,423,588,1351
transport,transport,3121,29131,,,588,1352
walking,walking,3707,3862,5499,192,589,1353
transport,transport,997,9228,,,589,1354
running,running,1533,4096,3872,248,589,1355
walking,walking,1825,1764,2924,88,590,1356
transport,transport,7082,61064,,,590,1357
cycling,cycling,133,1014,,22,590,1358
walking,walking,2917,3682,4902,183,591,1359
transport,transport,4634,55709,,,591,1360
running,running,1833,4815,4593,291,591,1361
walking,walking,2473,2396,3715,119,592,1362
transport,transport,8018,74736,,,592,1363
walking,walking,2861,3501,4758,174,593,1364
running,running,1022,3034,2650,182,593,1365
transport,transport,5101,54219,,,593,1366
walking,walking,1697,1892,2844,94,594,1367
transport,transport,11500,86648,,,594,1368
walking,walking,2519,2314,3475,115,595,1369
transport,transport,7113,76342,,,595,1370
walking,walking,1629,1562,2372,78,596,1371
transport,transport,2063,15346,,,596,1372
walking,walking,3594,4162,5267,207,597,1373
running,running,1383,3947,3456,238,597,1374
transport,transport,5959,57809,,,597,1375
walking,walking,1488,1446,2171,72,598,1376
transport,transport,3856,26744,,,598,1377
walking,walking,1564,1625,2267,81,599,1378
transport,transport,2935,22704,,,599,1379
cycling,cycling,1942,8273,,185,599,1380
walking,walking,1450,1441,2192,72,600,1381
transport,transport,3250,26196,,,600,1382
walking,walking,2488,2966,4159,148,601,1383
running,running,1473,4115,3607,248,601,1384
transport,transport,6539,53192,,,601,1385
walking,walking,6897,10325,11969,514,602,1386
transport,transport,6114,40650,,,602,1387
running,running,270,551,691,34,602,1388
walking,walking,1203,1419,1897,71,603,1389
transport,transport,2818,25322,,,603,1390
running,running,932,2634,2330,159,603,1391
walking,walking,3561,3367,4879,168,604,1392
transport,transport,4551,50345,,,604,1393
walking,walking,3503,4010,5568,200,605,1394
running,running,1593,4631,3981,279,605,1395
transport,transport,1747,11914,,,605,1396
walking,walking,3228,3423,4625,170,606,1397
transport,transport,4243,31926,,,606,1398
walking,walking,3871,4029,6160,201,607,1399
transport,transport,1954,16740,,,607,1400
walking,walking,1655,1763,2389,88,608,1401
walking,walking,2168,1661,2661,83,609,1402
transport,transport,4346,32733,,,609,1403
walking,walking,1503,1543,2129,77,610,1404
walking,walking,2711,3167,3986,158,611,1405
walking,walking,2274,1957,2807,97,612,1406
